title,Movie_Rating,No_of_Ratings,Format,ReleaseYear,MPAA_Rating,Directed_By,Starring,Price
Alex Cross,4.5,3667,Prime Video,2012.0,PG-13,Rob L. Cohen,"Tyler Perry,Matthew Fox,Edward Burns,Rachel Nichols",3.99
Blue Beetle,4.4,280,Prime Video,2023.0,PG-13,Angel Manuel Solo,"Xolo Maridue,Adriana Barraza,Dami Alc?zar",19.99
Jailer,4.0,101,Prime Video,2023.0,R,Nelson,"Rajinikanth,Ramya Krishnan,Vinayakan,Vasanth Ravi",4.830464886251237
Transformers: Age Of Extinction,4.6,33799,Prime Video,2014.0,PG-13,Michael Bay,"Mark Wahlberg,Nicola Peltz Beckham,Stanley Tucci",4.830464886251237
King Richard,4.6,10435,Prime Video,2021.0,PG-13,Reinaldo Marcus Green,"Will Smith,Aunjanue Ellis,Saniyya Sidney",3.79
Son of Bigfoot,4.6,1612,Prime Video,2018.0,PG,"Jérémie Degruson,Ben Stassen","Pappy Faulkner,Chris Parson,Terrence Stone",4.830464886251237
DIVINE INTERVENTION,5.0,4,Prime Video,2023.0,R,"Pedro Pablo Ibarra, ""Pitipol Ybarra""","Adrián Uribe,Memo Villegas,Jorge Perugorría",4.830464886251237
Wild Target,4.4,1465,Prime Video,2010.0,PG-13,Jonathan Lynn,"Bill Nighy,Emily Blunt,Rupert Grint,Rupert Everett",3.99
Coraline,4.8,56738,Prime Video,2009.0,PG,Henry Selick,"Dakota Fanning,Teri Hatcher,Jennifer Saunders",2.99
The Flash,4.2,6167,Prime Video,2023.0,PG-13,Andy Muschietti,"Michael Keaton,Antje Traue,Kiersey Clemons",5.99
Moneyball,4.7,12114,Prime Video,2011.0,PG-13,Bennett Miller,"Brad Pitt,Jonah Hill,Philip Seymour Hoffman",3.59
Storm Warning,4.1,327,Prime Video,2007.0,R,Jamie Blanks,"Nadia Farès,Robert Taylor,David Lyons",4.830464886251237
Miles and Lies,4.9,40,Prime Video,2023.0,R,Celso García,"Cassandra Sanchez-Navarro,David Chocarro",4.830464886251237
Picture This,4.4,811,Prime Video,2008.0,PG-13,Stephen Herek,"Ashley Tisdale,Robbie Amell,Kevin Pollak",4.830464886251237
Scooby-Doo 2: Monsters Unleashed,4.7,8497,Prime Video,2004.0,PG,Raja Gosnell,"Freddie Prinze, Jr.,Sarah Michelle Gellar",3.79
Fled,4.6,278,Prime Video,1996.0,R,Kevin Hooks,"Laurence Fishburne,Stephen Baldwin,Will Patton",4.830464886251237
Gran Turismo: Based on a True Story - Bonus X-Ray Edition,4.8,162,Prime Video,2023.0,PG-13,Neill Blomkamp,"David Harbour,Orlando Bloom,Archie Madekwe",14.99
Candyman,4.0,27734,Prime Video,2021.0,R,Nia DaCosta,"Yahya Abdul-Mateen II,Teyonah Parris",3.99
Monster High 2,4.1,4,Prime Video,2023.0,R,Todd Holland,"Miia Harris,Ceci Balagot,Nayah Damasen",4.830464886251237
Pixels,4.6,20599,Prime Video,2015.0,PG-13,Chris Columbus,"Adam Sandler,Kevin James,Michelle Monaghan",3.99
Skin: A History of Nudity in the Movies,4.1,318,Prime Video,2020.0,R,Danny Wolf,"Kevin Smith,Malcolm McDowell,Amy Heckerling",4.830464886251237
Dr. No,4.6,5259,Prime Video,1962.0,PG,Terence Young,"Sean Connery,Ursula Andress,Bernard Lee",4.830464886251237
Hoodlum,4.6,1592,Prime Video,1997.0,R,Bill Duke,"Laurence Fishburne,Tim Roth,Vanessa Williams",4.830464886251237
Miles and Lies,4.9,40,Prime Video,2023.0,R,Celso García,"Cassandra Sanchez-Navarro,David Chocarro",4.830464886251237
Beetlejuice,4.8,71886,Prime Video,1988.0,R,Tim Burton,"Michael Keaton,Alec Baldwin,Geena Davis,Winona Ryder",3.79
After.Life,4.2,2061,Prime Video,2009.0,R,Agnieszka Wojtowicz-Vosloo,"Christina Ricci,Justin Long,Liam Neeson",4.830464886251237
Jailer,4.0,101,Prime Video,2023.0,R,Nelson,"Rajinikanth,Ramya Krishnan,Vinayakan,Vasanth Ravi",4.830464886251237
A Quiet Place Part II,4.7,10350,Prime Video,2021.0,PG-13,John Krasinski,"Emily Blunt,Cillian Murphy,Millicent Simmonds",3.29
Quest for Fire,4.5,2693,Prime Video,1982.0,R,ean-Jacques Annaud,"Everett McGill,Ron Perlman,Nicholas Kadi",3.99
Braven,4.4,6011,Prime Video,2018.0,R,Lin Oeding,"Jason Momoa,Zahn McClarnon,Jill Wagner,Stephen Lang",4.830464886251237
Widows,4.4,6692,Prime Video,2018.0,R,Steve McQueen,"Viola Davis,Michelle Rodriguez,Elizabeth Debicki",4.830464886251237
The Sisterhood of the Traveling Pants,4.7,3182,Prime Video,2005.0,PG,Ken Kwapis,"Amber Tamblyn,America Ferrera,Blake Lively",3.79
jackass forever,4.3,11250,Prime Video,2022.0,R,Jeff Tremaine,"Johnny Knoxville,Steve-O,Chris Pontius,Dave England",2.79
Saw IV,4.6,1503,Prime Video,2007.0,R,Darren Lynn Bousman,"Tobin Bell,Scott Patterson,Betsy Russell",3.99
Contraband,4.6,4301,Prime Video,2012.0,R,"Baltasar Kormákur,Baltasar Kormakur","Kate Beckinsale,Mark Wahlberg,Ben Foster",4.830464886251237
A-X-L,4.5,4117,Prime Video,2018.0,PG,Oliver Daly,"Alex Neustaedter,Thomas Jane",4.830464886251237
My Big Fat Greek Wedding 3,4.0,158,Prime Video,2023.0,PG-13,Nia Vardalos,"Nia Vardalos,John Corbett,Louis Mandylor,Lainie Kazan",19.99
Nacho Libre,4.8,8492,Prime Video,2006.0,PG,Jared Hess,"Jack Black,Peter Storemare",3.99
Batman v Superman: Dawn Of Justice Ultimate Edition,4.5,10126,Prime Video,2016.0,R,Zack Snyder,"Ben Affleck,Henry Cavill,Amy Adams,Jesse Eisenberg",3.99
The Super,4.7,135,Prime Video,1991.0,R,Rod Daniel,Joe Pesci,4.830464886251237
Killers,4.6,2742,Prime Video,2010.0,PG-13,Robert Luketic,"Ashton Kutcher,Katherine Heigl,Tom Selleck",3.59
Dear Zoe,4.5,570,Prime Video,2022.0,R,Gren Wells,"Sadie Sink,Theo Rossi,Kweku Collins,Vivien Lyra Blair",5.99
Insidious: The Red Door,4.1,3618,Prime Video,2023.0,PG-13,Patrick Wilson,"Patrick Wilson,Rose Byrne,Ty Simpkins,Lin Shaye",5.99
Deep Blue Sea,4.6,6999,Prime Video,1999.0,R,Renny Harlin,"Saffron Burrows,Thomas Jane,LL Cool J",3.79
Kick-Ass 2,4.6,1245,Prime Video,2013.0,R,Jeff Wadlow,"Aaron Taylor-Johnson,Christopher Mintz-Plasse",4.830464886251237
The Ranch,5.0,1,Prime Video,2004.0,R,Susan Seidelman,"Jennifer Aspen,Jessica Collins",4.830464886251237
The Day After Tomorrow,4.7,16779,Prime Video,2004.0,PG-13,Roland Emmerich,"Dennis Quaid,Jake Gyllenhaal,Ian Holm,Emmy Rossum",3.79
The Ride,4.8,1915,Prime Video,2020.0,PG-13,Alex Ranarivelo,"Shane Graham,Ludacris,Sasha Alexander",4.830464886251237
The Infiltrator,4.4,6281,Prime Video,2016.0,R,Brad Furman,"Bryan Cranston,John Leguizamo,Diane Kruger,Amy Ryan",2.89
Friday,4.8,27590,Prime Video,1995.0,R,F. Gray,"Ice Cube,Chris Tucker,Nia Long",4.830464886251237
A-X-L,4.5,4117,Prime Video,2018.0,PG,Oliver Daly,"Alex Neustaedter,Thomas Jane",4.830464886251237
Dr. No,4.6,5259,Prime Video,1962.0,PG,Terence Young,"Sean Connery,Ursula Andress,Bernard Lee",4.830464886251237
Coneheads,4.8,5232,Prime Video,1993.0,PG,Steve Barron,"Dan Aykroyd,Jane Curtin",3.39
Coneheads,4.8,5232,Prime Video,1993.0,PG,Steve Barron,"Dan Aykroyd,Jane Curtin",3.39
The Ride,4.8,1915,Prime Video,2020.0,PG-13,Alex Ranarivelo,"Shane Graham,Ludacris,Sasha Alexander",4.830464886251237
The Infiltrator,4.4,6281,Prime Video,2016.0,R,Brad Furman,"Bryan Cranston,John Leguizamo,Diane Kruger,Amy Ryan",2.89
Scream,4.4,32182,Prime Video,2022.0,R,"Matt Bettinelli-Olpin,Tyler Gillett","Neve Campbell,Courteney Cox,David Arquette",3.29
Pretty Crazy,4.6,11,Prime Video,2023.0,R,Maurice Mo' Jones,"Chris Taylor,Corin Clay,Jasmine Dunlap,Joel Q",4.830464886251237
Red Eye,4.5,2963,Prime Video,2005.0,PG-13,Wes Craven,"Rachel McAdams,Cillian Murphy,Brian Cox,Jayma Mays",3.79
Texas Killing Fields,4.3,1705,Prime Video,2011.0,R,Ami Canaan Mann,"Sam Worthington,Jeffrey Dean Morgan",4.830464886251237
Suicide Squad (Extended Cut),4.7,7649,Prime Video,2016.0,PG-13,David Ayer,"Will Smith,Jared Leto,Margot Robbie,Joel Kinnaman",14.99
Remember Me,4.6,3700,Prime Video,2010.0,PG-13,Allen Coulter,"Robert Pattinson,Emilie de Ravin,Chris Cooper",4.830464886251237
Come Play,4.3,15175,Prime Video,2020.0,R,Jacob Chase,"Azhy Robertson,Gillian Jacobs,John Gallagher Jr.",4.830464886251237
My Spy,4.3,3531,Prime Video,2020.0,PG-13,Peter Segal,"Dave Bautista,Chloe Coleman,Ken Jeong,Kristen Schaal",4.830464886251237
Finding You,4.4,3104,Prime Video,2021.0,PG,Brian Baugh,"Rose Reid,Jedidiah Goodacre,Katherine McNamara",3.99
Maya The Bee,4.6,4305,Prime Video,2015.0,G,Alexs Stadermann,"Kodi Smit-McPhee,Richard Roxburgh,Miriam Margolyes",4.830464886251237
Spider-Man: Across The Spider-Verse - Bonus X-Ray Edition,4.8,5934,Prime Video,2023.0,PG,"Joaquim Dos Santos,Kemp Powers,Justin K. Thompson","Shameik Moore,Hailee Steinfeld,Brian Tyree Henry",5.99
Medusa's Mystery,4.0,1,Prime Video,2019.0,R,Christian Faure,"Nicolas Gob,Thomas Jouannet,Éva Darlan,Michel Cordes",4.830464886251237
Daisies In December,4.9,10,Prime Video,1995.0,R,Mark Haber,"Joss Ackland,Jean Simmons",4.830464886251237
Last Night in Soho,4.4,6976,Prime Video,2021.0,R,Edgar Wright,"Thomasin McKenzie,Anya Taylor-Joy,Matt Smith",4.830464886251237
13 Hours,4.8,8357,Prime Video,2016.0,R,---,"John Krasinski,James Badge Dale,Pablo Schreiber",3.79
Killer Klowns from Outer Space,4.7,5260,Prime Video,1988.0,PG-13,Stephen Chiodo,"Grant Cramer,Suzanne Snyder",4.830464886251237
The Chronicles of Riddick,4.7,7610,Prime Video,2004.0,PG-13,David Twohy,"Vin Diesel,Thandie Newton,Karl Urban,Colm Feore",3.79
October Sky,4.8,7872,Prime Video,1999.0,PG,Joe Johnston,"Jake Gyllenhaal,Chris Cooper,Laura Dern",3.79
Casino Royale,4.7,11395,Prime Video,2006.0,PG-13,---,"Daniel Craig (James Bond),Eva Green (Vesper Lynd)",3.89
Daisies In December,4.9,10,Prime Video,1995.0,R,Mark Haber,"Joss Ackland,Jean Simmons",4.830464886251237
Mean Girls,4.7,43165,Prime Video,2004.0,PG-13,Mark Waters,"Lindsay Lohan,Rachel McAdams,Tim Meadows,Ana Gasteyer",3.79
Transporter 3,4.7,1431,Prime Video,2008.0,PG-13,Olivier Megaton,"Jason Statham,Natalya Rudakova,Francois Berleand",3.79
Land,4.3,12361,Prime Video,2021.0,PG-13,Robin Wright,"Sarah Dawn Pledge,Robin Wright,Demián Bichir",4.830464886251237
Left Behind,4.3,3436,Prime Video,2014.0,PG-13,Vic Armstrong,"Nicolas Cage,Chad Michael Murray,Cassi Thomson",4.830464886251237
Medusa's Mystery,4.0,1,Prime Video,2019.0,R,Christian Faure,"Nicolas Gob,Thomas Jouannet,Éva Darlan,Michel Cordes",4.830464886251237
Skyfall,4.7,36189,Prime Video,2012.0,PG-13,Sam Mendes,"Daniel Craig,Judi Dench,Javier Bardem,Ralph Fiennes",3.99
Wrath of Becky,4.3,3076,Prime Video,2023.0,R,Matt Angel,"Lulu Wilson,Seann William Scott",4.830464886251237
Woman in Gold,4.8,8630,Prime Video,2015.0,PG-13,Simon Curtis,"Ryan Reynolds,Helen Mirren,Katie Holmes",3.99
The Punisher,4.6,3269,Prime Video,2004.0,R,Jonathan Hensleigh,"Thomas Jane,John Travolta,Samantha Mathis",3.79
Igor,4.6,1137,Prime Video,2008.0,PG,Anthony Leondis,"Steve Buscemi,John Cleese,Jennifer Coolidge",4.830464886251237
Drag Me To Hell,4.4,5374,Prime Video,2009.0,PG-13,Sam Raimi,"Alison Lohman,Justin Long,Lorna Raver,Dileep Rao",3.79
Summer Rental,4.7,5827,Prime Video,1985.0,PG,Carl Reiner,"John Candy,Richard Crenna",3.79
Kung Food,4.2,41,Prime Video,2021.0,R,Sun Haipeng,"Koula Kyriaki Glyptou,Grace Samson,Barry Samson",4.830464886251237
Charlotte's Web,4.8,9127,Prime Video,2006.0,G,Gary Winick,"Julia Roberts,Dakota Fanning,Steve Buscemi",3.79
Chaos,4.4,1506,Prime Video,2008.0,R,Tony Giglio,"Jason Statham,Ryan Phillippe,Wesley Snipes",4.830464886251237
Rise of the Planet of the Apes,4.7,15320,Prime Video,2011.0,PG-13,Rupert Wyatt,"James Franco,Brian Cox,John Lithgow,Freida Pinto",3.99
The Mask,4.7,19139,Prime Video,1994.0,PG-13,Chuck Russell,"Jim Carrey,Cameron Diaz,Peter Riegert,Peter Greene",4.830464886251237
The Cutting Edge: Chasing The Dream,4.5,959,Prime Video,2008.0,PG-13,Stuart Gillard,"Matt Lanter,Francia Raisa,Sarah Gadon,Christy Romano",4.830464886251237
Before We Go,4.5,1753,Prime Video,2015.0,PG-13,Chris Evans,"Alice Eve,Chris Evans,Daniel Spink,Elijah Moreland",4.830464886251237
Maleficent (Theatrical),4.8,55016,Prime Video,2014.0,PG,Robert Stromberg,"Angelina Jolie,Sharlto Copley,Elle Fanning,Sam Riley",3.79
Case 39,4.4,2172,Prime Video,2010.0,R,Christian Alvart,"Renee Zellweger,Jodelle Ferland,Adrian Lester",3.99
Rumble,4.6,232,Prime Video,2021.0,PG,Hamish Grieve,"Geraldine Viswanathan,Will Arnett,Stephen A. Smith",3.99
Get Close,4.0,63,Prime Video,2023.0,R,Derrick Hammond,"Jamal Woolard,Markice Moore,Kierra Pitts",4.830464886251237
Promising Young Woman,4.5,41966,Prime Video,2020.0,R,Emerald Fennell,"Carey Mulligan,Bo Burnham,Alison Brie,Clancy Brown",4.830464886251237
Deadfall,4.3,1580,Prime Video,2021.0,R,Stefan Ruzowitzky,"Eric Bana,Olivia Wilde,Charlie Hunnam,Kate Mara",4.830464886251237
October Sky,4.8,7872,Prime Video,1999.0,PG,Joe Johnston,"Jake Gyllenhaal,Chris Cooper,Laura Dern",3.79
Rumble,4.6,232,Prime Video,2021.0,PG,Hamish Grieve,"Geraldine Viswanathan,Will Arnett,Stephen A. Smith",3.99
Get Close,4.0,63,Prime Video,2023.0,R,Derrick Hammond,"Jamal Woolard,Markice Moore,Kierra Pitts",4.830464886251237
Promising Young Woman,4.5,41966,Prime Video,2020.0,R,Emerald Fennell,"Carey Mulligan,Bo Burnham,Alison Brie,Clancy Brown",4.830464886251237
Case 39,4.4,2172,Prime Video,2010.0,R,Christian Alvart,"Renee Zellweger,Jodelle Ferland,Adrian Lester",3.99
The Gambler,4.1,6453,Prime Video,2014.0,R,"Dick Lowry,Rupert Wyatt","Brie Larson,Mark Wahlberg",4.830464886251237
Just Getting Started,4.1,1585,Prime Video,2017.0,PG-13,Ron Shelton,"Morgan Freeman,Tommy Lee Jones,Rene Russo",4.830464886251237
Daniel Tiger's Neighborhood: Tiger Family Trip,4.7,303,Prime Video,2012.0,G,Vadim Kapridov,"Addison Holley,Amariah Faulkner,Jake Beale",2.29
Saving Christmas Spirit,5.0,1,Prime Video,2022.0,R,Wendy Faraone,"Ashley Newbrough,James Robinson,Jake Satow",4.830464886251237
Valerian and the City of a Thousand Planets,4.5,23275,Prime Video,2017.0,R,Luc Besson,"Dane DeHaan,Cara Delevingne,Clive Owen,Rihanna",4.830464886251237
Riding The Bullet,4.4,446,Prime Video,2004.0,R,Mick Garris,"Jonathan Jackson,David Arquette,Cliff Robertson",3.79
Aurora Teagarden Mysteries: Haunted By Murder,4.8,7,Prime Video,2022.0,R,,Martin Wood,4.830464886251237
The Shape of Water,4.6,6100,Prime Video,2017.0,R,Guillermo Del Toro,"Sally Hawkins,Michael Shannon,Richard Jenkins",4.830464886251237
The Other End of the Line,4.5,674,Prime Video,2008.0,PG-13,James Dodson,"Jesse Metcalfe,Austin Basis,Larry Miller,Anupam Kher",4.29
J.D.'s Revenge,4.7,368,Prime Video,1976.0,R,Arthur Marks,"Glynn Turman,Lou Gossett Jr.,Alice Jubert,Carl Crudup",4.830464886251237
Steve and Maggie - Spooktacular Special (Vol. 14),4.0,24,Prime Video,2021.0,R,Wattsenglish Ltd.,"Steve,Maggie",0.99
Doubting Thomas,4.1,2781,Prime Video,2018.0,R,Will McFadden,"Jamie Hector,Will McFadden,Sarah Butler",4.830464886251237
PAW Patrol: Moto Pups,5.0,1,Prime Video,2023.0,R,,---,4.830464886251237
The Name of the Rose,4.5,2505,Prime Video,1986.0,R,Jean-Jacques Annaud,"Sean Connery,Christian Slater,Ron Perlman",3.99
The SpongeBob SquarePants Movie,4.8,7355,Prime Video,2004.0,PG,"Stephen Hillenburg,Mark Osborne","Tom Kenny,Clancy Brown,Rodger Bumpass,Jeffrey Tambor",3.79
Woman in Gold,4.8,8630,Prime Video,2015.0,PG-13,Simon Curtis,"Ryan Reynolds,Helen Mirren,Katie Holmes",3.99
Let Him Go,4.3,48717,Prime Video,2020.0,R,Thomas Bezucha,"Diane Lane,Kevin Costner,Lesley Manville",4.830464886251237
The Finest Hour,4.1,65,Prime Video,1992.0,R,Shimon Dotan,"Rob Lowe,Gale Hansen",4.830464886251237
Little Italy,4.4,2064,Prime Video,2018.0,R,Donald Petrie,"Emma Roberts,Hayden Christensen,Alyssa Milano",4.830464886251237
"Yours, Mine & Ours",4.7,1481,Prime Video,2005.0,R,Raja Gosnell,"Dennis Quaid,Rene Russo,Sean Faris,Katija Pevec",3.99
Domestic Disturbance,4.4,366,Prime Video,2001.0,PG-13,Harold Becker,"John Travolta,Vince Vaughn,Teri Polo,Rebecca Tilney",4.830464886251237
Sid is Dead,4.0,87,Prime Video,2023.0,R,Eli Gonda,"Joey Bragg,Tyler Alvarez,Jack Griffo",2.99
The Little Vampire,4.8,7717,Prime Video,2017.0,R,"Richard Claus,Karsten Kiilerich","Jim Carter,Rasmus Hardiker,Amy Saville",3.79
Hot Tub Time Machine 2,4.2,6849,Prime Video,2015.0,R,Steve Pink,"Rob Corddry,Craig Robinson",4.830464886251237
Harry Potter and the Sorcerer's Stone,4.8,87774,Prime Video,2001.0,PG,Chris Columbus,"Daniel Radcliffe,Rupert Grint,Emma Watson,John Cleese",3.79
Monster High The Movie,4.6,300,Prime Video,2022.0,R,,Todd Holland,7.99
Overlord,4.3,7845,Prime Video,2018.0,R,Julius Avery,"Jovan Adepo,Wyatt Russell,Pilou Asbaek,John Magaro",3.59
Overlord,4.3,7845,Prime Video,2018.0,R,Julius Avery,"Jovan Adepo,Wyatt Russell,Pilou Asbaek,John Magaro",3.59
Monster Family,4.5,1278,Prime Video,2018.0,PG,Holger Tappe,"Emily Watson,Jason Isaacs,Nick Frost",4.830464886251237
Dracula,4.7,2225,Prime Video,1931.0,R,Tod Browning,"Bela Lugosi,David Manners,Edward Van Sloan",3.59
A Royal In Paradise,4.5,82,Prime Video,2023.0,R,Adrian Powers,"Rhiannon Fish,Mitchell Bourke",4.830464886251237
The Little Vampire,4.8,7717,Prime Video,2017.0,R,"Richard Claus,Karsten Kiilerich","Jim Carter,Rasmus Hardiker,Amy Saville",3.79
Where the Buffalo Roam,4.6,1744,Prime Video,1980.0,R,nbcu,"Peter Boyle,Bill Murray,Bruno Kirby,Rene Auberjonois",3.59
Quantum of Solace,4.6,8596,Prime Video,2008.0,PG-13,Marc Forster,"Daniel Craig,Olga Kurylenko,Mathieu Amalric",3.99
Cop Shop,4.6,3,Prime Video,2021.0,R,Joe Carnahan,"Gerard Butler,Frank Grillo,Alexis Louder,Toby Huss",4.830464886251237
Jurassic World,4.7,87364,Prime Video,2015.0,PG-13,Colin Trevorrow,"Chris Pratt,Bryce Dallas Howard,Vincent D'Onofrio",3.79
Saw V,4.5,2018,Prime Video,2008.0,R,David Hackl,"Tobin Bell,Costas Mandylor,Scott Patterson",3.99
A Haunted House,4.5,4557,Prime Video,2013.0,R,Michael Tiddes,"Marlon Wayans,Essence Atkins",4.830464886251237
Jesse Stone: No Remorse,4.8,6252,Prime Video,2010.0,R,Robert Harmon,"Gil Anderson,Tom Selleck,Kathy Baker,Kohl Sudduth",3.59
White Boy Rick,4.4,7160,Prime Video,2018.0,R,Yann Demange,"Matthew McConaughey,Richie Merritt,Bel Powley",3.99
Interstellar,4.7,99475,Prime Video,2014.0,PG-13,Christopher Nolan,Jessica Chastain,4.830464886251237
Honest Thief,4.4,38526,Prime Video,2020.0,PG-13,Mark Williams,"Liam Neeson,Kate Walsh,Robert Patrick,Anthony Ramos",3.99
Tulsa,4.5,1780,Prime Video,2020.0,PG-13,Scott Pryor AND Gloria Stella,"Scott Pryor,Livi Birch,John Schneider",4.830464886251237
Alexandria,5.0,1,Prime Video,2010.0,R,Nick Gillam-Smith,Bettany Hughes,4.830464886251237
The Girl with All the Gifts,4.3,3747,Prime Video,2017.0,R,Colm McCarthy,"Gemma Arterton,Paddy Considine,Glenn Close",4.830464886251237
Honest Thief,4.4,38526,Prime Video,2020.0,PG-13,Mark Williams,"Liam Neeson,Kate Walsh,Robert Patrick,Anthony Ramos",3.99
Break Every Chain,4.6,1199,Prime Video,2023.0,R,Tim Searfoss,"Ignacyo Matynia,Dean Cain,Krystian Leonard",2.99
Jack Reacher,4.6,32102,Prime Video,2012.0,PG-13,---,"Tom Cruise,Rosamund Pike,Richard Jenkins",3.99
The Fog (1980),4.7,6440,Prime Video,1980.0,R,John Carpenter,"Adrienne Barbeau,Jamie Lee Curtis,Janet Leigh",4.830464886251237
She's Out of My League,4.7,2952,Prime Video,2010.0,R,Jim Field Smith,"Mike Vogel,Alice Eve,Krysten Ritter,T.J. Miller",3.19
High Ground,4.1,255,Prime Video,2021.0,R,Stephen Maxwell Johnson,"Jacob Junior Nayinggul,Simon Baker,Jack Thompson",2.99
The SpongeBob Movie: Sponge on the Run,4.5,9207,Prime Video,2021.0,PG,Tim Hill,"Tim Hill,Clancy Brown,Bill Fagerbakke",3.99
The Murders in the Rue Morgue,4.4,84,Prime Video,1986.0,PG,Jeannot Szwarc,"George C. Scott,Rebecca De Mornay,Ian McShane",4.830464886251237
Tulsa,4.5,1780,Prime Video,2020.0,PG-13,Scott Pryor AND Gloria Stella,"Scott Pryor,Livi Birch,John Schneider",4.830464886251237
The Super Mario Bros. Movie (Blu-Ray + DVD + Digital),4.8,43543,Blu-ray,2023.0,R,Aaron Horvath,"Chris Pratt,Anna Taylor-Joy,Charlie Day",12.99
"PAW Patrol: Ready, Race, Rescue",4.7,1956,Prime Video,2019.0,R,---,"Devan Cohen,Owen Mason,Kallan Holley,Gage Munroe",4.49
Dirty Dancing,4.8,39246,Prime Video,1987.0,PG-13,Emile Ardolino,"Patrick Swayze,Jennifer Grey,Jerry Orbach",4.830464886251237
The Crucifixion,4.1,2662,Prime Video,2017.0,R,Xavier Gens,"Sophie Cookson,Corneliu Ulici,Brittany Ashworth",4.830464886251237
Robocop (2014),4.4,14280,Prime Video,2014.0,PG-13,José Padilha,"Jay Baruchel,Abbie Cornish",3.89
Scary Stories to Tell in the Dark,4.3,28201,Prime Video,2019.0,PG-13,Andre Ovredal,"Zoe Colletti,Michael Garza,Gabriel Rush,Dean Norris",3.79
Interstellar,4.7,99475,Prime Video,2014.0,PG-13,Christopher Nolan,Jessica Chastain,4.830464886251237
Where the Buffalo Roam,4.6,1744,Prime Video,1980.0,R,nbcu,"Peter Boyle,Bill Murray,Bruno Kirby,Rene Auberjonois",3.59
Luce,4.1,8008,Prime Video,2019.0,R,Julius Onah,"Naomi Watts,Octavia Spencer,Kelvin Harrison Jr.",3.99
Jesse Stone: Thin Ice,4.8,9157,Prime Video,2009.0,R,Robert Harmon,"Gil Anderson,Tom Selleck,Kathy Baker,Camryn Manheim",3.59
The Addams Family,4.7,14173,Prime Video,1991.0,PG-13,Barry Sonnenfeld,"Raul Julia,Anjelica Huston,Christopher Lloyd",2.89
Danger Close,4.3,4070,Prime Video,2019.0,R,Kriv Stenders,"Travis Fimmel,Luke Bracey,Daniel Webber",4.830464886251237
A Princess for Christmas,4.8,3955,Prime Video,2011.0,R,Michael Damian,"Katie McGrath,Sir Roger Moore,Sam Heughan",4.830464886251237
So Undercover,4.3,548,Prime Video,2013.0,PG-13,Tom Vaughan,"Miley Cyrus,Jeremy Piven,Kelly Osbourne",4.830464886251237
Anne & Mary Boleyn - A Tale of Two Sisters,4.1,4,Prime Video,2018.0,R,,Edward Cotterill,4.830464886251237
The Big Lebowski,4.7,27622,Prime Video,1998.0,R,Ethan Coen,"Jeff Bridges,John Goodman,Julianne Moore",4.830464886251237
Punisher: War Zone,4.4,1352,Prime Video,2008.0,R,Lexi Alexander,"Ray Stevenson,Dominic West,Julie Benz",3.99
Saw 5 (Unrated),4.6,1417,Prime Video,2008.0,R,David Hackl,"Tobin Bell,Costas Mandylor,Scott Patterson",3.99
Radio Rebel,4.6,262,Prime Video,2012.0,PG-13,Peter Howitt,"Debby Ryan,Sarena Parmar,Adam DiMarco",4.830464886251237
Janky Promoters,4.5,945,Prime Video,2009.0,R,Marcus Raboy,"Ice Cube,Mike Epps,Tiffany Haddish",4.830464886251237
Ghostbusters: Afterlife,4.6,89389,Prime Video,2021.0,PG-13,Jason Reitman,"Paul Rudd,Carrie Coon,Finn Wolfhard,Mckenna Grace",12.99
Daylight's End,4.0,999,Prime Video,2016.0,R,William Kaufman,"Johnny Strong,Lance Henriksen,Louis Mandylor",4.830464886251237
Wish You Well,4.6,577,Prime Video,2015.0,R,Darnell Martin,"Ellen Burstyn,Mackenzie Foy,Josh Lucas,Ned Bellamy",4.830464886251237
Jesse Stone: Innocents Lost,4.8,9392,Prime Video,2011.0,R,Dick Lowry,"Gil Anderson,Tom Selleck,Kathy Baker,Kohl Sudduth",3.59
